	CGM_0	CGM_1	CGM_2	CGM_3
d7c791d1-bf6c-4542-a2b0-ae98db5aa653	3.291974036282211	2.3096757286347103	3.390521880105256	2.829710582292153
cded68ee-b3c2-47a4-a95a-265192af6b09	3.7285931562243815	2.985966508039341	2.411336180322772	2.2380372171013594
252d07c5-f0a0-43ca-911d-a7b1d903a975	1.9057053641998247	2.34312367421299	2.0000701719917	2.8085971256984124
23c5c858-c993-4532-a343-9a39d10dba76	3.366480517926265	2.138703847295635	3.710298402904747	4.680931033609568
a073f686-b7bb-4831-bd74-a5f6411c4098	3.1780573332455133	3.5900323105523197	2.234459052322206	2.794547435033369
cc1fbf31-0db0-44eb-b18b-3ce5bf323d66	2.48980861875815	3.421139149887202	2.8768965588049276	2.736348812034281
fc157386-3d8e-432b-b2e4-643daaa05e58	3.4862981700859876	2.146138095102685	2.995655632907396	2.908535694794802
63c812a4-c084-4689-876a-a34db611aeef	1.769304475819375	4.193521985896122	4.827267234416175	3.0738443622588227
09549fc0-c1a5-45a8-b053-dacfc261f40c	4.074090654613421	1.6917999969555035	1.5466704302453689	1.3873910541431214
261618b0-d45b-4115-aab1-aebaf576d6ae	3.024409647661966	1.6934909514463903	3.2765211965350076	4.5508482041654235
3e8e666c-0c7b-4fcc-9fbc-2a8b1cfb4c61	3.0195038092303186	3.844669982037416	3.452495821523291	2.734465270347359
2877f6c0-649f-44d2-89a1-4a6ef2c8ec19	3.998805710293412	2.121395023125132	1.4803171820045202	1.0861721574082719
3e4e441c-a556-4d7d-a8d5-9f49ee0d8b1d	0.8345565826417315	4.003608182990814	3.283372376752321	3.059521807043513
e72ffb47-2cbf-4cde-9431-fffbf50f5013	2.961801052280651	2.756492259977265	3.8307567148960544	3.2723113525568333
b03b7b9b-00ef-4e0d-bac2-0b1059d57a87	2.2057571478072022	2.4951096433696063	2.767068534892632	3.4987996105941153
9b7ee08d-b03c-4c4e-a295-d27cdeff5e92	3.972340151498871	2.140905564017723	2.8433711048203207	3.7646540010268734
d0c7c4ce-3089-473b-9f78-97be72f8d69a	2.931825397478717	2.1384614827606305	3.5564337919695337	4.340385993484677
b14bcc5f-6c85-465b-9d01-04acd13d77bd	3.0204597291509714	4.00082524940314	3.3594018860829062	3.726789936346446
11528963-2ae3-44cc-a1fa-3a1ef205570c	3.463426034754335	4.211877275087706	3.630603732510989	3.2282535693597754
5cd79afa-f5de-4f1a-aa52-d9c7a63c67c8	3.859530225746611	2.323445920025957	2.5405029029395303	2.888618150059532
