source	signature	M	K	n	k	p	overlap_genes	fdr	module
xCell	Hepatocytes_HPCA_3	1200	147	25	4	0.3672422087004503	APOE|MT1G|SERPINA1|SERPING1	0.48285549662466615	2
xCell	Basophils_FANTOM_2	1200	147	11	2	0.3981067711992598	ADAMDEC1|MS4A4A	0.51391965009359	2
xCell	Hepatocytes_HPCA_1	1200	147	28	4	0.45507015716983873	APOE|MT1G|SERPINA1|SERPING1	0.5769639492689027	2
xCell	Smooth muscle_HPCA_3	1200	147	6	1	0.5442544735071831	CCL8	0.6779310108598247	2
xCell	Mesangial cells_FANTOM_1	1200	147	40	5	0.5548941286872586	BST2|IL32|PTX3|TGM2|VCAM1	0.6792669506344029	2
xCell	Neurons_ENCODE_2	1200	147	18	2	0.6678296545134033	IFI44|PTX3	0.8036594147534175	2
xCell	Astrocytes_ENCODE_1	1200	147	9	1	0.6928178008789931	PTX3	0.8198343977068085	2
xCell	pro B-cells_HPCA_2	1200	147	11	1	0.7639944971281308	LILRB4	0.8748969241306015	2
xCell	Epithelial cells_FANTOM_1	1200	147	11	1	0.7639944971281308	G0S2	0.8748969241306015	2
xCell	Epithelial cells_FANTOM_3	1200	147	16	1	0.878147409992839	G0S2	0.9896581922141519	2
xCell	Epithelial cells_FANTOM_2	1200	147	23	1	0.9519461791364621	G0S2	0.997661619567503	2
xCell	Astrocytes_FANTOM_2	1200	147	54	3	0.9712545111717787	CCL2|TGM2|VCAM1	0.997661619567503	2
xCell	Keratinocytes_FANTOM_2	1200	147	44	2	0.978949146807836	G0S2|MMP9	0.997661619567503	2
xCell	Keratinocytes_FANTOM_3	1200	147	46	2	0.9833053244903663	G0S2|MMP9	0.997661619567503	2
xCell	Mesangial cells_FANTOM_3	1200	147	53	2	0.9926906563738261	IL32|SPP1	0.997661619567503	2
xCell	Astrocytes_FANTOM_3	1200	147	67	3	0.9928093594648677	CCL2|TGM2|VCAM1	0.997661619567503	2
xCell	Keratinocytes_FANTOM_1	1200	147	62	2	0.997544119615054	G0S2|MMP9	0.997661619567503	2
xCell	Astrocytes_FANTOM_1	1200	147	77	3	0.997661619567503	CCL2|TGM2|VCAM1	0.997661619567503	2
BostonGene	MHCII	1200	147	7	7	3.64409231250001e-07	HLA-DMB|HLA-DPA1|HLA-DPB1|HLA-DQA1|HLA-DQB1|HLA-DRA|HLA-DRB1	2.1864553875000063e-06	2
BostonGene	Effector_cells	1200	147	5	5	2.596893534234536e-05	CD8A|GNLY|GZMA|GZMB|PRF1	7.790680602703609e-05	2
BostonGene	T_cell_traffic	1200	147	6	5	0.00014038437013518917	CCL4|CCL5|CXCL10|CXCL11|CXCL9	0.00028076874027037834	2
BostonGene	MDSC	1200	147	5	3	0.014952204726431306	CYBB|IDO1|IL4I1	0.022428307089646958	2
BostonGene	MDSC_traffic	1200	147	6	1	0.5442544735071831	CSF1R	0.6531053682086198	2
BostonGene	Matrix_remodeling	1200	147	9	1	0.6928178008789931	MMP9	0.6928178008789931	2
xCell	Astrocytes_FANTOM_1	1200	168	77	56	8.133345864578448e-35	ACTA2|ACTG2|ADAM12|ADAM19|ADAMTS2|BGN|C1S|CHRDL1|CNN1|COL1A1|COL1A2|COL3A1|COL5A1|COL5A2|COL6A1|COL6A2|COL6A3|COL8A2|CREB3L1|CXCL12|DCN|DPYSL3|FBLN2|FBN1|FKBP10|FLNC|FN1|GEM|GFPT2|GREM1|IGFBP6|LOX|LUM|MFAP4|MFAP5|MGP|MMP2|MOXD1|MXRA5|MXRA8|MYL9|MYLK|OLFML3|PLN|POSTN|PTGIS|RARRES2|RCN3|SERPINF1|SFRP4|SPON2|SULF1|TAGLN|TIMP2|TPM2|VCAN	4.7986740601012845e-33	3
xCell	Astrocytes_FANTOM_3	1200	168	67	50	9.160890224496785e-32	ACTA2|ACTG2|ADAM12|ADAM19|ADAMTS2|BGN|C1S|CNN1|COL1A1|COL1A2|COL3A1|COL5A1|COL5A2|COL6A1|COL6A2|COL6A3|COL8A2|CREB3L1|CXCL12|DCN|DPYSL3|FBLN2|FBN1|FKBP10|FLNC|FN1|GFPT2|GREM1|IGFBP6|LOX|LUM|MFAP4|MFAP5|MGP|MXRA5|MXRA8|MYL9|MYLK|OLFML3|PLN|POSTN|PTGIS|RARRES2|RCN3|SFRP4|SPON2|SULF1|TAGLN|TPM2|VCAN	2.7024626162265515e-30	3
xCell	Astrocytes_FANTOM_2	1200	168	54	40	5.617416305844042e-25	ACTA2|ACTG2|ADAM12|ADAM19|ADAMTS2|BGN|CNN1|COL1A1|COL1A2|COL3A1|COL5A1|COL6A1|COL6A2|COL8A2|CXCL12|DPYSL3|FBLN2|FLNC|FN1|GFPT2|GREM1|LUM|MFAP4|MFAP5|MGP|MXRA5|MXRA8|MYL9|MYLK|OLFML3|PLN|POSTN|PTGIS|RARRES2|RCN3|SFRP4|SULF1|TAGLN|TPM2|VCAN	1.1047585401493283e-23	3
xCell	Chondrocytes_FANTOM_2	1200	168	10	10	2.2857249307601625e-09	CILP|COL10A1|COMP|DPT|ELN|EMILIN1|HSPB7|ISLR|LRRC15|PRELP	2.8038140635885978e-08	3
xCell	Mesangial cells_FANTOM_3	1200	168	53	25	2.376113613210676e-09	ACTA2|ADAM19|AEBP1|BGN|CNN1|COL1A1|COL1A2|COL3A1|COL5A1|COL6A1|COL6A2|COL6A3|CREB3L1|DCN|DPYSL3|FN1|GREM1|MGP|MYL9|OLFML2B|OLFML3|POSTN|RCN3|SULF1|TAGLN	2.8038140635885978e-08	3
xCell	Chondrocytes_FANTOM_3	1200	168	11	10	2.2108146179033184e-08	CILP|COL10A1|COMP|DPT|ELN|EMILIN1|HSPB7|ISLR|LRRC15|PRELP	1.8634008922327968e-07	3
xCell	Chondrocytes_FANTOM_1	1200	168	11	10	2.2108146179033184e-08	CILP|COL10A1|COMP|DPT|ELN|EMILIN1|HSPB7|ISLR|LRRC15|PRELP	1.8634008922327968e-07	3
xCell	Mesangial cells_FANTOM_1	1200	168	40	19	2.127718788551005e-07	BGN|CNN1|COL1A1|COL3A1|COL5A1|COL6A3|CREB3L1|DCN|DPYSL3|FLNC|FN1|GREM1|MXRA8|MYL9|MYLK|POSTN|RCN3|TAGLN|VCAN	1.5691926065563662e-06	3
xCell	Fibroblasts_ENCODE_1	1200	168	9	8	1.0110171074164322e-06	ASPN|DPT|ELN|EMILIN1|HSPB6|HSPB7|LGALS1|LMOD1	6.6277788152854995e-06	3
